From root Wed Nov 20 11:44 GMT 1996
Received: from juliet.ic.ac.uk by icarus.ph.ic.ac.uk (5.x/4.0)
          id AA23089; Wed, 20 Nov 1996 11:44:56 GMT
Received: from ASTRPD [147.162.26.10] 
	by juliet.ic.ac.uk with smtp (Exim 0.57 #1)
	id 0vQB6U-0006bu-00; Wed, 20 Nov 1996 11:46:06 +0000
Date: Wed, 20 Nov 1996 10:24:58 +0200
Message-Id: <96112010245816@astrpd.pd.astro.it>
From: franceschini@astrpd.pd.astro.it
To: s.oliver@ic.ac.uk
Subject: Re: models
X-Vms-To: SMTP%"s.oliver@ic.ac.uk"
Content-Type: text
Content-Length: 9909
X-Mozilla-Status: 0011

Please find enclosed model counts at 15 micron. The model is discribed shortly
in the note I sent you 2 weeks ago. N.B.: in the old fig.3, I reported
predictions differentiated per source class: late-type systems are = Spirals
+ Starburst; early-types = E + S0; AGns as in column 6

Hope this is clear enough. I am sending you the other staff for the 6.7 micron
counts


Model counts at 15 micron:

   Differential counts: dN/dS/(600 S^-2.5 sr^-1) at lambda=15 micron (S in Jy)
   Log S (Jy)    Spirals       E              S0        Starburst    AGN           Total
  -0.34000E+01  0.36967E-01  0.31034E-03  0.83544E-02  0.93627E-02  0.23679E-02  0.57363E-01
  -0.36000E+01  0.31693E-01  0.34140E-03  0.93655E-02  0.71125E-02  0.23253E-02  0.50838E-01
  -0.38000E+01  0.23524E-01  0.34231E-03  0.93369E-02  0.53445E-02  0.22386E-02  0.40787E-01
  -0.40000E+01  0.17371E-01  0.32926E-03  0.81215E-02  0.39296E-02  0.20265E-02  0.31778E-01
  -0.42000E+01  0.12647E-01  0.32075E-03  0.68995E-02  0.28247E-02  0.17873E-02  0.24479E-01
  -0.44000E+01  0.84703E-02  0.29026E-03  0.50310E-02  0.19202E-02  0.14535E-02  0.17165E-01
  -0.46000E+01  0.55002E-02  0.25373E-03  0.37070E-02  0.13113E-02  0.10999E-02  0.11872E-01
  -0.48000E+01  0.33512E-02  0.20873E-03  0.24731E-02  0.86092E-03  0.76810E-03  0.76620E-02
  -0.50000E+01  0.20203E-02  0.16166E-03  0.15865E-02  0.52304E-03  0.49685E-03  0.47883E-02
  -0.52000E+01  0.11769E-02  0.12449E-03  0.99850E-03  0.32764E-03  0.29970E-03  0.29272E-02
  -0.54000E+01  0.67545E-03  0.90683E-04  0.58569E-03  0.18889E-03  0.17132E-03  0.17120E-02
  -0.56000E+01  0.38287E-03  0.64613E-04  0.33646E-03  0.10334E-03  0.93873E-04  0.98116E-03
  -0.58000E+01  0.21386E-03  0.43177E-04  0.18324E-03  0.56924E-04  0.49907E-04  0.54710E-03
  -0.60000E+01  0.11880E-03  0.26925E-04  0.97133E-04  0.26467E-04  0.26017E-04  0.29534E-03
  -0.62000E+01  0.66389E-04  0.16411E-04  0.50173E-04  0.12639E-04  0.13362E-04  0.15897E-03
  -0.64000E+01  0.36509E-04  0.93732E-05  0.24492E-04  0.55274E-05  0.68056E-05  0.82707E-04
  -0.66000E+01  0.19386E-04  0.54101E-05  0.11811E-04  0.21473E-05  0.34457E-05  0.42200E-04
  -0.68000E+01  0.10769E-04  0.28786E-05  0.53087E-05  0.87575E-06  0.17381E-05  0.21570E-04
  -0.70000E+01  0.48509E-05  0.14181E-05  0.23210E-05  0.31087E-06  0.87474E-06  0.97756E-05
  -0.72000E+01  0.26867E-05  0.66051E-06  0.97900E-06  0.10020E-06  0.43951E-06  0.48660E-05
  -0.74000E+01  0.13643E-05  0.27947E-06  0.37276E-06  0.32247E-07  0.22064E-06  0.22694E-05
  -0.76000E+01  0.49951E-06  0.13044E-06  0.13990E-06  0.97522E-08  0.11069E-06  0.89030E-06
  -0.78000E+01  0.19947E-06  0.47528E-07  0.45202E-07  0.30861E-08  0.55514E-07  0.35080E-06
 N(>S)   integral counts  (sources sr^-1)
   0.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   0.18000E+01  0.12001E-08  0.10827E-11  0.24362E-10  0.88494E-09  0.61150E-10  0.21716E-08
   0.16000E+01  0.35473E-08  0.31630E-11  0.74901E-10  0.27217E-08  0.18095E-09  0.65280E-08
   0.14000E+01  0.82297E-08  0.73729E-11  0.17454E-09  0.62546E-08  0.41755E-09  0.15084E-07
   0.12000E+01  0.17349E-07  0.16957E-10  0.36519E-09  0.12972E-07  0.88300E-09  0.31586E-07
   0.10000E+01  0.35339E-07  0.36099E-10  0.73659E-09  0.25890E-07  0.18051E-08  0.63807E-07
   0.80000E+00  0.71882E-07  0.70563E-10  0.14935E-08  0.51257E-07  0.36171E-08  0.12832E-06
   0.60000E+00  0.14544E-06  0.13468E-09  0.30557E-08  0.10445E-06  0.72021E-08  0.26029E-06
   0.40000E+00  0.28849E-06  0.27296E-09  0.59735E-08  0.22013E-06  0.14278E-07  0.52915E-06
   0.20000E+00  0.56480E-06  0.57539E-09  0.11722E-07  0.44205E-06  0.28158E-07  0.10473E-05
   0.00000E+00  0.11201E-05  0.11261E-08  0.23090E-07  0.86272E-06  0.55806E-07  0.20629E-05
  -0.20000E+00  0.22905E-05  0.21457E-08  0.48046E-07  0.17010E-05  0.11115E-06  0.41529E-05
  -0.40000E+00  0.47209E-05  0.42501E-08  0.95728E-07  0.35764E-05  0.22277E-06  0.86200E-05
  -0.60000E+00  0.94995E-05  0.91977E-08  0.19115E-06  0.75421E-05  0.44641E-06  0.17688E-04
  -0.80000E+00  0.19284E-04  0.18683E-07  0.37851E-06  0.15137E-04  0.89254E-06  0.35711E-04
  -0.10000E+01  0.40157E-04  0.36226E-07  0.79299E-06  0.30579E-04  0.17947E-05  0.73360E-04
  -0.12000E+01  0.83882E-04  0.70948E-07  0.16363E-05  0.63739E-04  0.35926E-05  0.15292E-03
  -0.14000E+01  0.17355E-03  0.15290E-06  0.33119E-05  0.12834E-03  0.72345E-05  0.31259E-03
  -0.16000E+01  0.36349E-03  0.32454E-06  0.67686E-05  0.25368E-03  0.14644E-04  0.63891E-03
  -0.18000E+01  0.75982E-03  0.64705E-06  0.14521E-04  0.50349E-03  0.29579E-04  0.13080E-02
  -0.20000E+01  0.16017E-02  0.13418E-05  0.31665E-04  0.97253E-03  0.59801E-04  0.26671E-02
  -0.22000E+01  0.33262E-02  0.30845E-05  0.70410E-04  0.18376E-02  0.12125E-03  0.53585E-02
  -0.24000E+01  0.67644E-02  0.69300E-05  0.16444E-03  0.34249E-02  0.24862E-03  0.10609E-01
  -0.26000E+01  0.13777E-01  0.17015E-04  0.42927E-03  0.61431E-02  0.51005E-03  0.20877E-01
  -0.28000E+01  0.27443E-01  0.44648E-04  0.11607E-02  0.10836E-01  0.10422E-02  0.40527E-01
  -0.30000E+01  0.52105E-01  0.12135E-03  0.32177E-02  0.18757E-01  0.21321E-02  0.76333E-01
  -0.32000E+01  0.98725E-01  0.33882E-03  0.88179E-02  0.31503E-01  0.43343E-02  0.14372E+00
  -0.34000E+01  0.17811E+00  0.90828E-03  0.22986E-01  0.52196E-01  0.88110E-02  0.26301E+00
  -0.36000E+01  0.30920E+00  0.21150E-02  0.56476E-01  0.84017E-01  0.17708E-01  0.46951E+00
  -0.38000E+01  0.52346E+00  0.46918E-02  0.12819E+00  0.13182E+00  0.34956E-01  0.82312E+00
  -0.40000E+01  0.83698E+00  0.97686E-02  0.26119E+00  0.20312E+00  0.67453E-01  0.13785E+01
  -0.42000E+01  0.13049E+01  0.19587E-01  0.49395E+00  0.30664E+00  0.12565E+00  0.22508E+01
  -0.44000E+01  0.19529E+01  0.38080E-01  0.86230E+00  0.45185E+00  0.22483E+00  0.35300E+01
  -0.46000E+01  0.28171E+01  0.71157E-01  0.13966E+01  0.64794E+00  0.38180E+00  0.53146E+01
  -0.48000E+01  0.38954E+01  0.12764E+00  0.21604E+01  0.91346E+00  0.61180E+00  0.77086E+01
  -0.50000E+01  0.51956E+01  0.21763E+00  0.31564E+01  0.12455E+01  0.92302E+00  0.10738E+02
  -0.52000E+01  0.67247E+01  0.35772E+00  0.44302E+01  0.16493E+01  0.13139E+01  0.14476E+02
  -0.54000E+01  0.84629E+01  0.56625E+00  0.59743E+01  0.21410E+01  0.17734E+01  0.18918E+02
  -0.56000E+01  0.10410E+02  0.86784E+00  0.77465E+01  0.26790E+01  0.22855E+01  0.23989E+02
  -0.58000E+01  0.12531E+02  0.12883E+01  0.97148E+01  0.32652E+01  0.28316E+01  0.29631E+02
  -0.60000E+01  0.14808E+02  0.18280E+01  0.11772E+02  0.38509E+01  0.33924E+01  0.35651E+02
  -0.62000E+01  0.17221E+02  0.25011E+01  0.13848E+02  0.43526E+01  0.39478E+01  0.41870E+02
  -0.64000E+01  0.19778E+02  0.32815E+01  0.15805E+02  0.47786E+01  0.44756E+01  0.48119E+02
  -0.66000E+01  0.22336E+02  0.41637E+01  0.17521E+02  0.50521E+01  0.49541E+01  0.54027E+02
  -0.68000E+01  0.24972E+02  0.51414E+01  0.18882E+02  0.51535E+01  0.53650E+01  0.59513E+02
  -0.70000E+01  0.27648E+02  0.61150E+01  0.19767E+02  0.51128E+01  0.56978E+01  0.64340E+02
  -0.72000E+01  0.29782E+02  0.70092E+01  0.20123E+02  0.48960E+01  0.59520E+01  0.67762E+02
  -0.74000E+01  0.32062E+02  0.77233E+01  0.19894E+02  0.45119E+01  0.61368E+01  0.70328E+02
  -0.76000E+01  0.33335E+02  0.82187E+01  0.19085E+02  0.40241E+01  0.62655E+01  0.70928E+02
  -0.78000E+01  0.34033E+02  0.84970E+01  0.17766E+02  0.34390E+01  0.63523E+01  0.70088E+02

